,geo_uid,geo_id,population,land_area,pop_density,pop_0_14,pop_15_64,pop_65,pop_avg_age,pop_med_age,pop_married,pop_not_married,income_0_30,income_30_70,income_70_100,income_100,income_emp_avg,income_emp_med,orig_north_american,orig_european,orig_caribbean,orig_latin,orig_african,orig_asian,orig_oceania,edu_no_degree,edu_diploma,edu_post_secondary,employment_rate,unemployment_rate
0,2016S051235204900,35204900,3023.0,0.06,53504.4,160.0,160.0,160.0,33.3,30.7,1385.0,1480.0,790.0,880.0,525.0,585.0,104596.0,79179.0,320.0,1200.0,95.0,85.0,105.0,1730.0,10.0,50.0,330.0,2510.0,77.2,4.9
1,2016S051235210420,35210420,427.0,7.48,57.1,80.0,80.0,80.0,39.3,40.6,200.0,145.0,130.0,105.0,45.0,45.0,72093.0,58064.0,25.0,340.0,25.0,0.0,0.0,90.0,0.0,20.0,85.0,235.0,67.6,4.3
2,2016S051235190934,35190934,5725.0,2.48,2311.0,1300.0,1300.0,1300.0,35.2,37.2,2955.0,1475.0,1865.0,1030.0,520.0,745.0,91951.0,74760.0,730.0,2695.0,160.0,185.0,165.0,2685.0,10.0,630.0,880.0,2815.0,66.6,6.5
3,2016S051235191163,35191163,1183.0,6.41,184.5,305.0,305.0,305.0,35.6,36.4,625.0,250.0,310.0,305.0,140.0,110.0,63657.0,62342.0,305.0,1060.0,15.0,40.0,0.0,70.0,0.0,170.0,210.0,545.0,72.4,6.3
4,2016S051235203371,35203371,1728.0,0.09,18782.6,455.0,455.0,455.0,30.2,27.5,640.0,635.0,835.0,275.0,10.0,5.0,36419.0,34939.0,85.0,100.0,245.0,30.0,235.0,1225.0,0.0,285.0,410.0,665.0,48.9,11.3
5,2016S051235201846,35201846,648.0,0.39,1652.2,95.0,95.0,95.0,42.4,44.2,330.0,225.0,245.0,180.0,55.0,40.0,67632.0,63176.0,100.0,410.0,10.0,10.0,15.0,230.0,0.0,55.0,185.0,320.0,59.6,5.5
6,2016S051235204640,35204640,471.0,0.07,6364.9,80.0,80.0,80.0,39.8,41.1,230.0,165.0,150.0,115.0,50.0,60.0,78252.0,71320.0,100.0,375.0,10.0,20.0,10.0,35.0,0.0,55.0,100.0,205.0,69.9,5.7
7,2016S051235190057,35190057,452.0,0.15,2942.7,55.0,55.0,55.0,41.5,43.8,230.0,170.0,170.0,170.0,40.0,10.0,47848.0,44339.0,210.0,330.0,0.0,0.0,0.0,30.0,0.0,65.0,190.0,165.0,59.5,3.8
8,2016S051235180952,35180952,480.0,15.63,30.7,70.0,70.0,70.0,43.6,46.4,280.0,130.0,140.0,160.0,65.0,40.0,58897.0,49551.0,140.0,420.0,0.0,0.0,0.0,0.0,0.0,50.0,130.0,225.0,51.2,6.8
9,2016S051235201608,35201608,443.0,0.12,3799.3,70.0,70.0,70.0,44.5,47.3,240.0,130.0,135.0,120.0,55.0,50.0,80681.0,59448.0,35.0,365.0,15.0,15.0,0.0,55.0,0.0,40.0,75.0,285.0,50.6,11.1
10,2016S051235212144,35212144,544.0,0.06,9749.1,115.0,115.0,115.0,35.4,34.4,300.0,125.0,255.0,115.0,15.0,10.0,48319.0,40341.0,35.0,35.0,10.0,0.0,0.0,440.0,0.0,180.0,85.0,85.0,50.0,12.5
11,2016S051259153353,59153353,2148.0,0.7,3059.4,195.0,195.0,195.0,39.5,37.3,980.0,970.0,990.0,700.0,145.0,60.0,59222.0,53823.0,240.0,765.0,25.0,25.0,45.0,1315.0,0.0,135.0,605.0,1220.0,63.0,6.8
12,2016S051248061834,48061834,3241.0,1.82,1776.8,630.0,630.0,630.0,40.6,42.1,1740.0,870.0,835.0,700.0,340.0,510.0,98679.0,77910.0,975.0,2820.0,15.0,30.0,40.0,70.0,25.0,335.0,640.0,1555.0,63.8,8.5
13,2016S051235201481,35201481,401.0,0.04,9457.5,60.0,60.0,60.0,38.9,37.5,180.0,160.0,120.0,125.0,35.0,55.0,67587.0,50733.0,50.0,290.0,0.0,15.0,10.0,95.0,0.0,15.0,55.0,275.0,75.4,3.8
14,2016S051235210116,35210116,581.0,0.17,3491.6,65.0,65.0,65.0,43.3,43.8,285.0,225.0,225.0,190.0,40.0,25.0,61259.0,56469.0,145.0,400.0,0.0,10.0,0.0,120.0,0.0,60.0,200.0,245.0,51.5,11.7
15,2016S051235200946,35200946,456.0,0.03,14568.7,55.0,55.0,55.0,37.7,35.9,235.0,165.0,195.0,130.0,35.0,25.0,63829.0,47519.0,85.0,410.0,15.0,15.0,25.0,65.0,0.0,110.0,100.0,230.0,69.7,11.4
16,2016S051235201439,35201439,551.0,0.21,2584.4,50.0,50.0,50.0,44.8,45.7,210.0,285.0,195.0,120.0,40.0,60.0,90553.0,63610.0,100.0,420.0,0.0,0.0,20.0,75.0,20.0,115.0,95.0,245.0,70.0,3.1
17,2016S051235204695,35204695,457.0,0.5,909.8,75.0,75.0,75.0,37.3,34.8,180.0,210.0,190.0,115.0,40.0,15.0,60594.0,52641.0,60.0,340.0,30.0,25.0,0.0,40.0,0.0,50.0,140.0,180.0,50.0,22.9
18,2016S051235240685,35240685,1278.0,0.21,6068.4,390.0,390.0,390.0,31.8,35.7,625.0,265.0,250.0,255.0,185.0,150.0,83773.0,79739.0,385.0,885.0,40.0,20.0,75.0,235.0,0.0,115.0,180.0,585.0,72.9,6.5
19,2016S051235201700,35201700,708.0,0.28,2521.4,90.0,90.0,90.0,43.0,45.4,355.0,260.0,235.0,160.0,70.0,125.0,111417.0,71192.0,90.0,545.0,30.0,15.0,0.0,70.0,0.0,55.0,120.0,410.0,56.4,8.3
20,2016S051235204786,35204786,849.0,0.24,3525.7,120.0,120.0,120.0,39.3,38.5,420.0,310.0,370.0,235.0,50.0,35.0,50909.0,48580.0,55.0,70.0,35.0,0.0,35.0,560.0,0.0,95.0,180.0,325.0,63.3,5.1
21,2016S051235180762,35180762,400.0,34.61,11.6,70.0,70.0,70.0,40.6,42.8,215.0,120.0,140.0,120.0,30.0,30.0,45695.0,48519.0,175.0,255.0,0.0,0.0,0.0,15.0,0.0,60.0,70.0,185.0,52.4,8.3
22,2016S051235201281,35201281,478.0,0.05,9281.6,100.0,100.0,100.0,37.6,38.7,235.0,140.0,130.0,95.0,55.0,70.0,86316.0,71937.0,110.0,410.0,0.0,25.0,10.0,60.0,0.0,40.0,35.0,320.0,78.5,6.1
23,2016S051235400149,35400149,444.0,53.89,8.2,65.0,65.0,65.0,42.3,47.3,230.0,150.0,155.0,150.0,45.0,20.0,52931.0,41953.0,160.0,345.0,0.0,0.0,0.0,0.0,0.0,80.0,120.0,205.0,70.0,8.3
24,2016S051235190102,35190102,436.0,0.13,3369.4,75.0,75.0,75.0,41.7,45.2,235.0,125.0,155.0,115.0,60.0,25.0,53881.0,52267.0,170.0,330.0,25.0,0.0,10.0,90.0,0.0,90.0,145.0,175.0,63.4,10.3
25,2016S051235190081,35190081,429.0,0.32,1346.5,85.0,85.0,85.0,40.2,42.4,230.0,115.0,135.0,100.0,50.0,50.0,85824.0,73137.0,155.0,345.0,20.0,0.0,10.0,35.0,0.0,50.0,110.0,215.0,72.4,3.5
26,2016S051235203294,35203294,619.0,0.14,4498.5,70.0,70.0,70.0,45.5,47.6,300.0,245.0,280.0,180.0,45.0,20.0,46670.0,40888.0,60.0,220.0,15.0,20.0,0.0,260.0,0.0,105.0,145.0,225.0,45.3,8.3
